Академічна вулиця;Академичная улица
Батівський шляхопровід;Батёвский путепровод
Берегівська-бічна вулиця;Береговская-бочная улица
Березнева вулиця;Березневая улица
Бічна вулиця;Бочная улица
Ботанічна набережна;Ботаничная набережная
Будівельна вулиця;Будивельная улица
Будівельний провулок;Будивельный переулок
Бузкова вулиця;Бузковая улица
Велика вулиця;Великая улица
Велика Заводська вулиця;Великая Заводская улица
Велика Садова вулиця;Великая Садовая улица
Велика Хустецька вулиця;Великая Хустецкая улица
Вереснева вулиця;Вересневая улица
Веселкова вулиця;Веселковая улица
Весняна вулиця;Весняная улица
Весняний провулок;Весняный переулок
Вишківська вулиця;Вышковская улица
Вишненімецький провулок;Вышненемецкий переулок
Волошковий провулок;Волошковый переулок
вулиця Алшо Мікефалва;улица Алшо Микефалва
вулиця Андрелли Оросвигівського;улица Андреллы Оросвиговского
вулиця Андрелли;улица Андреллы
вулиця Антона Шепи;улица Антона Шепы
вулиця Бели Бартока;улица Белы Бартока
вулиця Братів Шерегіїв;улица Братьев Шерегиев
вулиця Вародія;улица Вародия
вулиця Василя Свиди;улица Василия Свиды
вулиця Великий Боуц;улица Великий Боуц
вулиця Венеліна-Гуци;улица Венелина-Гуцы
вулиця Визволення;улица Вызволення
вулиця Відродження;улица Видродження
вулиця Вошут;улица Вошут
вулиця Габора Дойко;улица Габора Дойко
вулиця Гейзи Оноді;улица Гейзы Оноди
вулиця Замкові Сходи;улица Замковые Сходы
вулиця Зорі;улица Зори
вулиця Івана Габовди;улица Ивана Габовды
вулиця Івана Запісочного;улица Ивана Записочного
вулиця Івана Франка-бічна;улица Ивана Франко-бочная
вулиця Йожефа Бема;улица Йожефа Бема
вулиця Казінці;улица Казинци
вулиця Луки Демʼяна;улица Луки Демьяна
вулиця Марійки Підгірянки;улица Марийки Пидгирянки
вулиця Миколи Бажана;улица Миколы Бажана
вулиця Миколи Хвильового;улица Миколы Хвылёвого
вулиця Нове Життя;улица Нове Життя
вулиця Окремий Хутір;улица Окремый Хутор
вулиця Олекси Борканюка;улица Олексы Борканюка
вулиця Олени Пчілки;улица Олены Пчилки
вулиця Олени Степанівни;улица Олены Степанивны
вулиця Просвіти;улица Просвиты
вулиця Тиводара Легоцького;улица Тиводара Легоцкого
вулиця Федора Медвідя;улица Фёдора Медвидя
вулиця Федора Фекети;улица Фёдора Фекеты
вулиця Шімона Меньгерта;улица Шимона Меньхерта
вулиця Юрія Гуци-Венеліна;улица Юрия Гуцы-Венелина
Гірнича вулиця;Горничая улица
Гірська вулиця;Горская улица
Гірський провулок;Горский переулок
Грецька вулиця;Грецкая улица
Груднева вулиця;Грудневая улица
Демократична вулиця;Демократичная улица
Джерельна вулиця;Джерельная улица
Джерельний провулок;Джерельный переулок
Дитяча вулиця;Дитячая улица
Довга вулиця;Долгая улица
Енергетична вулиця;Энергетичная улица
Жовтнева вулиця;Жовтневая улица
Залізнична вулиця;Зализничная улица
Залізничний провулок;Зализничный переулок
Затишна вулиця;Затишная улица
Затишний провулок;Затишный переулок
Західна вулиця;Захидная улица
Землевпорядна вулиця;Землевпорядная улица
Зіркова вулиця;Зирковая улица
Зоряна вулиця;Зоряная улица
Зоряний провулок;Зоряный переулок
Зразкова вулиця;Зразковая улица
Італійська вулиця;Италийская улица
Квіткова вулиця;Квитковая улица
Квітнева вулиця;Квитневая улица
Квітова вулиця;Квитовая улица
Керамічна вулиця;Керамичная улица
Колгоспна вулиця;Колгоспная улица
Конюшинна вулиця;Конюшинная улица
Коритнянська вулиця;Корытнянская улица
Космічна вулиця;Космичная улица
Кришталева вулиця;Крышталевая улица
Кутова вулиця;Кутовая улица
Ливарська вулиця;Ливарская улица
Липнева вулиця;Липневая улица
Лікарняна вулиця;Ликарняная улица
Лікувальна вулиця;Лекувальная улица
Лірична вулиця;Лиричная улица
Лісова вулиця;Лесовая улица
Лютнева вулиця;Лютневая улица
Мальовнича вулиця;Малёвнычая улица
Мальовничий провулок;Малёвнычий переулок
Мармурова вулиця;Мармуровая улица
Медичний провулок;Медичный переулок
Мисливська вулиця;Мыслывская улица
Мисливський провулок;Мыслывский переулок
Мистецька вулиця;Мыстецская улица
Митна вулиця;Мытная улица
Міська вулиця;Меская улица
Млинна вулиця;Млынная улица
Молдовський провулок;Молдовский переулок
Мочолівська вулиця;Мочоливская улица
Мочолівське роздоріжжя;Мочолевское раздорожье
Музична вулиця;Музычная улица
Набережна-бічна вулиця;Набережная-бочная улица
Наукова вулиця;Науковая улица
