Березнева вулиця;Березневая улица
Блискучий провулок;Блискучий переулок
Бузкова вулиця;Бузковая улица
Весняна вулиця;Весняная улица
Весняний вʼїзд;Весняный въезд
Весняний провулок;Весняный переулок
Виробнича вулиця;Выробнича улица
Волошкова вулиця;Волошковая улица
провулок Джерело;переулок Джерело
Загородній вʼїзд;Загородний въезд
Загородній провулок;Загородний переулок
Загородній проїзд;Загородний проезд
Зоряний вʼїзд;Зоряный въезд
Зоряний провулок;Зоряный переулок
Квітуча вулиця;Квитучая улица
Квітучий провулок;Квитучий переулок
Ліщинова вулиця;Лещиновая улица
Ліщиновий проїзд;Лещиновый проезд
Ліщиновий провулок;Лещиновый переулок
Печерська вулиця;Печерская улица
Печерський провулок;Печерский переулок
вулиця Працюючих;улица Працюючих
Пролісковий провулок;Пролисковый переулок
Променистий провулок;Променистый переулок
Селянська вулиця;Селянская улица
Селянський вʼїзд;Селянский въезд
Селянський провулок;Селянский переулок
Червона вулиця;Червоная улица
Чернівецька вулиця;Чернивецкая улица
Чернівецький вʼїзд;Чернивецкий въезд
Чернівецький провулок;Чернивецкий переулок
Шовковична вулиця;Шовковичная улица
