проспект Миколи Бажана;проспект Миколы Бажана
Березнева вулиця;Березневая улица
Березневий провулок;Березневый переулок
3-й Березневий провулок;3-й Березневый переулок
вулиця Будіндустрії;улица Будиндустрии
Вереснева вулиця;Вересневая улица
Веселковий провулок;Веселковый переулок
Військова вулиця;Войсковая улица
Військовий проїзд;Войсковой проезд
Громадська вулиця;Громадская улица
Джерельна вулиця;Джерельная улица
Джерельний провулок;Джерельный переулок
Дібровна вулиця;Дибровная улица
Дібровний провулок;Дибровный переулок
вулиця Добрий Шлях;улица Добрый Шлях
Заповітна вулиця;Заповитная улица
Заповітний провулок;Заповитный переулок
Затишна вулиця;Затишная улица
Зоряний провулок;Зоряный переулок
Зрошувальна вулиця;Зрошувальная улица
вулиця Каменярів;улица Каменяров
провулок Каменярів;переулок Каменяров
Квіткова вулиця;Квитковая улица
Кінцева вулиця;Кинцевая улица
Ливарська вулиця;Ливарская улица
Лікарняна вулиця;Ликарняная улица
Лікарняний провулок;Ликарняный переулок
Лісова вулиця;Лесовая улица
Лютнева вулиця;Лютневая улица
Лютневий провулок;Лютневый переулок
Мальовнича вулиця;Малевнычая улица
Мальовничий провулок;Малевнычий переулок
вулиця Миколи Хвильового;улица Миколы Хвылёвого
Мисливська вулиця;Мыслывская улица
Мистецька вулиця;Мыстецская улица
Молдовська вулиця;Молдовская улица
Наддніпрянське шосе;Надднепрянское шоссе
майдан Незалежності;майдан Незалежности
вулиця Олени Пчілки;улица Олены Пчилки
1-а Повздовжня вулиця;1-я Повздовжняя улица
2-а Повздовжня вулиця;2-я Повздовжняя улица
Порічкова вулиця;Поречковая улица
Похила вулиця;Похилая улица
Промениста вулиця;Променистая улица
Промислова вулиця;Промысловая улица
Промисловий провулок;Промысловый переулок
Різдвяна вулиця;Риздвяная улица
Рожева вулиця;Рожевая улица
Рожевий провулок;Рожевый переулок
Святкова вулиця;Святковая улица
Селянська вулиця;Селянская улица
Серпнева вулиця;Серпневая улица
Ставкова вулиця;Ставковая улица
Трояндова вулиця;Трояндовая улица
Цегельна вулиця;Цегельная улица
Цегельний провулок;Цегельный переулок
Ялинкова вулиця;Ялынковая улица
Ялинковий провулок;Ялынковый переулок
