1-а Повздовжня вулиця;1-я Повздовжняя улица
2-а Повздовжня вулиця;2-я Повздовжняя улица
3-й Березневий провулок;3-й Березневый переулок
Академічна вулиця;Академичная улица
Батівський шляхопровід;Батёвский путепровод
Берегівська-бічна вулиця;Береговская-бочная улица
Березнева вулиця;Березневая улица
Березневий провулок;Березневый переулок
Бічна вулиця;Бочная улица
Блакитна вулиця;Блакитная улица
Блискучий провулок;Блискучий переулок
Ботанічна набережна;Ботаничная набережная
Будівельна вулиця;Будивельная улица
Будівельний провулок;Будивельный переулок
Бузкова вулиця;Бузковая улица
Бузковий провулок;Бузковый переулок
Бузькова вулиця;Бузьковая улица
Велика вулиця;Великая улица
Велика Заводська вулиця;Великая Заводская улица
Велика Кільцева вулиця;Великая Кольцевая улица
Велика Садова вулиця;Великая Садовая улица
Велика Хустецька вулиця;Великая Хустецкая улица
Вереснева вулиця;Вересневая улица
Веселкова вулиця;Веселковая улица
Веселковий провулок;Веселковый переулок
Весняна вулиця;Весняная улица
Весняний вʼїзд;Весняный въезд
Весняний провулок;Весняный переулок
Виробнича вулиця;Выробничая улица
Вишківська вулиця;Вышковская улица
Вишненімецький провулок;Вышненемецкий переулок
Військова вулиця;Войсковая улица
Військовий проїзд;Войсковой проезд
Волошкова вулиця;Волошковая улица
Волошковий провулок;Волошковый переулок
вулиця Алшо Мікефалва;улица Алшо Микефалва
вулиця Андрелли Оросвигівського;улица Андреллы Оросвиговского
вулиця Андрелли;улица Андреллы
вулиця Антона Шепи;улица Антона Шепы
вулиця Бели Бартока;улица Белы Бартока
вулиця Братів Шерегіїв;улица Братьев Шерегиев
вулиця Будіндустрії;улица Будиндустрии
вулиця Вародія;улица Вародия
вулиця Василя Свиди;улица Василия Свиды
вулиця Великий Боуц;улица Великий Боуц
вулиця Венеліна-Гуци;улица Венелина-Гуцы
вулиця Визволення;улица Вызволення
вулиця Відродження;улица Видродження
вулиця Воззʼєднання;улица Воззъеднання
вулиця Вошут;улица Вошут
вулиця Габора Дойко;улица Габора Дойко
вулиця Гейзи Оноді;улица Гейзы Оноди
вулиця Генерала Петріва;улица Генерала Петрива
вулиця Добрий Шлях;улица Добрый Шлях
вулиця Замкові Сходи;улица Замковые Сходы
вулиця Зорі;улица Зори
вулиця Івана Габовди;улица Ивана Габовды
вулиця Івана Запісочного;улица Ивана Записочного
вулиця Івана Франка-бічна;улица Ивана Франко-бочная
вулиця Йожефа Бема;улица Йожефа Бема
вулиця Казінці;улица Казинци
вулиця Каменярів;улица Каменяров
вулиця Луки Демʼяна;улица Луки Демьяна
вулиця Марійки Підгірянки;улица Марийки Пидгирянки
вулиця Миколи Бажана;улица Миколы Бажана
вулиця Миколи Хвильового;улица Миколы Хвылёвого
вулиця Нове Життя;улица Нове Життя
вулиця Окремий Хутір;улица Окремый Хутор
вулиця Олекси Борканюка;улица Олексы Борканюка
вулиця Олени Пчілки;улица Олены Пчилки
вулиця Олени Степанівни;улица Олены Степанивны
вулиця Працюючих;улица Працюючих
вулиця Просвіти;улица Просвиты
вулиця Станіслава Дністрянського;улица Станислава Днистрянского
вулиця Тиводара Легоцького;улица Тиводара Легоцкого
вулиця Федора Медвідя;улица Фёдора Медвидя
вулиця Федора Фекети;улица Фёдора Фекеты
вулиця Шімона Меньгерта;улица Шимона Меньхерта
вулиця Юрія Гуци-Венеліна;улица Юрия Гуцы-Венелина
Гірнича вулиця;Горнячья улица
Гірська вулиця;Горская улица
Гірський провулок;Горский переулок
Грецька вулиця;Грецкая улица
Громадська вулиця;Громадская улица
Груднева вулиця;Грудневая улица
Демократична вулиця;Демократичная улица
Джерельна вулиця;Джерельная улица
Джерельний провулок;Джерельный переулок
Дитяча вулиця;Дитячая улица
Дібровна вулиця;Дибровная улица
Дібровний провулок;Дибровный переулок
Довга вулиця;Долгая улица
Енергетична вулиця;Энергетичная улица
Жовтнева вулиця;Жовтневая улица
Загородній вʼїзд;Загородний въезд
Загородній провулок;Загородний переулок
Загородній проїзд;Загородний проезд
Залізнична вулиця;Зализничная улица
Залізничний провулок;Зализничный переулок
Заповітна вулиця;Заповитная улица
Заповітний провулок;Заповитный переулок
Затишна вулиця;Затишная улица
Затишний провулок;Затишный переулок
Західна вулиця;Захидная улица
Землевпорядна вулиця;Землевпорядная улица
Зіркова вулиця;Зирковая улица
Зоряна вулиця;Зоряная улица
Зоряний вʼїзд;Зоряный въезд
Зоряний провулок;Зоряный переулок
Зразкова вулиця;Зразковая улица
Зрошувальна вулиця;Зрошувальная улица
Італійська вулиця;Италийская улица
Квіткова вулиця;Квитковая улица
Квітнева вулиця;Квитневая улица
Квітова вулиця;Квитовая улица
Квітуча вулиця;Квитучая улица
Квітучий провулок;Квитучий переулок
Керамічна вулиця;Керамичная улица
